ID;start;end;code;group;text;code2;R;G;B
1515;3232,753196;3263,812292;NEC;Naar speler;gAAAAABYrzOVpwR4hkBRLRWokYEEu0m9qFQAssyS37xKGhlicvfYTrDj38_DYpmlTDAoSTQJL7z6RI2a8qLkKhuDpQ8UhpOSug==;;;;
1515;3232,753196;3263,812292;NEC;Van speler;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1515;3232,753196;3263,812292;NEC;;Kans;;;;
1515;3232,753196;3263,812292;NEC;Betrokken;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1515;3232,753196;3263,812292;NEC;Betrokken;c444e99f03fd4b4391b1705b6255b64f;;;;
1515;3232,753196;3263,812292;NEC;Betrokken;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1515;3232,753196;3263,812292;NEC;Betrokken;gAAAAABYrzOVAH_k5uIMgQIUdh3oS5v_kfeXPxh5ovl2mQqbsKnen1GIQ0d6IE7-MxWYx4DR4SK5nM5fXiyOagW8VAVCyswk8Q==;;;;
1515;3232,753196;3263,812292;NEC;Betrokken;c444e99f03fd4b4391b1705b6255b64f;;;;
1515;3232,753196;3263,812292;NEC;Betrokken;gAAAAABYrzOVCAPWz7BpsibFppmWT1NcKxCbIC1Rgk91IuaanqRQcr7mtxHw1e-U-5AVdLQ0hSdduk1pxjOYatAN6Osgk_YBLg==;;;;
1515;3232,753196;3263,812292;NEC;;Goal;;;;
1516;3232,949165;3242,001021;M2 NEC;Naar speler;c444e99f03fd4b4391b1705b6255b64f;;;;
1516;3232,949165;3242,001021;M2 NEC;Van speler;gAAAAABYrzOVVjgzqrniLlC2aFPW4Xv96b4-rvg7GLDMslniONPuTLWyXdO9xcavnvNAal19pd0vCx6g2XhrivSUoIagNcxAOw==;;;;
1516;3232,949165;3242,001021;M2 NEC;Aanvallen NEC;Indribbelen;;;;
1516;3232,949165;3242,001021;M2 NEC;Naar zone;M3 NEC;;;;
