start_time;ID;start;end;code;group;text;code2;R;G;B
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Aanvallen TEG;Lange pass;;;;
2016-04-20 18:01:49.97 +0200;727;1658,466183;1678,633919;TEG;Rendement;Balwinst;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Naar zone;M2 TEG;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Start;KP worp;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Storen NEC;Druk;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Storen NEC;Compact;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Naar zone;R2 TEG;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Aanvallen TEG;Lange pass;;;;
2016-04-20 18:01:49.97 +0200;728;1660,466183;1678,633919;Verdedigen;Rendement;Balwinst;;;;
2016-04-20 18:01:49.97 +0200;729;1662,074143;1665,522004;M1 TEG;Naar zone;M2 TEG;;;;
2016-04-20 18:01:49.97 +0200;730;1662,522004;1670,314199;M2 TEG;Start;KP worp;;;;
2016-04-20 18:01:49.97 +0200;730;1662,522004;1670,314199;M2 TEG;Storen NEC;Druk;;;;
2016-04-20 18:01:49.97 +0200;730;1662,522004;1670,314199;M2 TEG;Storen NEC;Compact;;;;
2016-04-20 18:01:49.97 +0200;730;1662,522004;1670,314199;M2 TEG;Naar zone;R2 TEG;;;;
2016-04-20 18:01:49.97 +0200;731;1663,714376;1678,633919;VERD. Compact NEC;Storen NEC;Druk;;;;
2016-04-20 18:01:49.97 +0200;731;1663,714376;1678,633919;VERD. Compact NEC;Storen NEC;Compact;;;;
2016-04-20 18:01:49.97 +0200;731;1663,714376;1678,633919;VERD. Compact NEC;Naar zone;R2 TEG;;;;
2016-04-20 18:01:49.97 +0200;731;1663,714376;1678,633919;VERD. Compact NEC;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;731;1663,714376;1678,633919;VERD. Compact NEC;Aanvallen TEG;Lange pass;;;;
2016-04-20 18:01:49.97 +0200;731;1663,714376;1678,633919;VERD. Compact NEC;Rendement;Balwinst;;;;
2016-04-20 18:01:49.97 +0200;732;1663,714376;1678,633919;VERD. Druk NEC;Storen NEC;Druk;;;;
2016-04-20 18:01:49.97 +0200;732;1663,714376;1678,633919;VERD. Druk NEC;Storen NEC;Compact;;;;
2016-04-20 18:01:49.97 +0200;732;1663,714376;1678,633919;VERD. Druk NEC;Naar zone;R2 TEG;;;;
2016-04-20 18:01:49.97 +0200;732;1663,714376;1678,633919;VERD. Druk NEC;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;732;1663,714376;1678,633919;VERD. Druk NEC;Aanvallen TEG;Lange pass;;;;
2016-04-20 18:01:49.97 +0200;732;1663,714376;1678,633919;VERD. Druk NEC;Rendement;Balwinst;;;;
2016-04-20 18:01:49.97 +0200;733;1667,314199;1672,434147;R2 TEG;Naar zone;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;734;1669,434147;1678,633919;M1 TEG;Aanvallen TEG;Lange pass;;;;
2016-04-20 18:01:49.97 +0200;734;1669,434147;1678,633919;M1 TEG;Rendement;Balwinst;;;;
2016-04-20 18:01:49.97 +0200;735;1669,946035;1678,633919;OPB. Lange pass TEG;Aanvallen TEG;Lange pass;;;;
2016-04-20 18:01:49.97 +0200;735;1669,946035;1678,633919;OPB. Lange pass TEG;Rendement;Balwinst;;;;
2016-04-20 18:01:49.97 +0200;736;1673,642485;1685,866436;17d904e1c0cf4cb6bd7e3613675d443d;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;736;1673,642485;1685,866436;17d904e1c0cf4cb6bd7e3613675d443d;Naar speler;87840ed253414bec9ede11f5532cea5f;;;;
2016-04-20 18:01:49.97 +0200;737;1673,866436;1688,818334;87840ed253414bec9ede11f5532cea5f;Van speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;737;1673,866436;1688,818334;87840ed253414bec9ede11f5532cea5f;Naar zone;M3 NEC;;;;
2016-04-20 18:01:49.97 +0200;737;1673,866436;1688,818334;87840ed253414bec9ede11f5532cea5f;Rendement;Balverlies;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Startzone NEC;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Naar zone;M3 TEG;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Naar speler;87840ed253414bec9ede11f5532cea5f;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Van speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Naar zone;M3 NEC;;;;
2016-04-20 18:01:49.97 +0200;738;1674,633919;1682,818334;NEC;Rendement;Balverlies;;;;
2016-04-20 18:01:49.97 +0200;739;1676,169789;1680,69838;M2 NEC;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;739;1676,169789;1680,69838;M2 NEC;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;739;1676,169789;1680,69838;M2 NEC;Naar speler;87840ed253414bec9ede11f5532cea5f;;;;
2016-04-20 18:01:49.97 +0200;739;1676,169789;1680,69838;M2 NEC;Van speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;739;1676,169789;1680,69838;M2 NEC;Naar zone;M3 NEC;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Startzone NEC;M1 TEG;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Naar zone;M3 TEG;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Naar speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;;Van speler;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Naar speler;87840ed253414bec9ede11f5532cea5f;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Van speler;17d904e1c0cf4cb6bd7e3613675d443d;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Naar zone;M3 NEC;;;;
2016-04-20 18:01:49.97 +0200;740;1676,633919;1682,818334;OMSCH aanvallen;Rendement;Balverlies;;;;
2016-04-20 18:01:49.97 +0200;741;1676,633919;1680,633919;Balwinst;Startzone NEC;M1 TEG;;;;
